	category	context	id	location	location_subtype	location_type	month	outcome_status	persistent_id
97	anti-social-behaviour		66581166	{'latitude': '52.634049', 'street': {'id': 883378, 'name': 'On or near Colton Street'}, 'longitude': '-1.127765'}		Force	2018-07		
98	anti-social-behaviour		66573397	{'latitude': '52.627491', 'street': {'id': 883201, 'name': 'On or near Mill Hill Lane'}, 'longitude': '-1.118661'}		Force	2018-07		
99	anti-social-behaviour		66578790	{'latitude': '52.626988', 'street': {'id': 882307, 'name': 'On or near Further/higher Educational Building'}, 'longitude': '-1.123532'}		Force	2018-07		
100	anti-social-behaviour		66578791	{'latitude': '52.633161', 'street': {'id': 883433, 'name': 'On or near Castle Street'}, 'longitude': '-1.140416'}		Force	2018-07		
101	anti-social-behaviour		66578022	{'latitude': '52.639768', 'street': {'id': 883239, 'name': 'On or near Parking Area'}, 'longitude': '-1.131597'}		Force	2018-07		
102	anti-social-behaviour		66578028	{'latitude': '52.625508', 'street': {'id': 882488, 'name': 'On or near Beckingham Road'}, 'longitude': '-1.111920'}		Force	2018-07		
103	anti-social-behaviour		66578030	{'latitude': '52.628499', 'street': {'id': 883248, 'name': 'On or near Trinity Lane'}, 'longitude': '-1.132174'}		Force	2018-07		
104	anti-social-behaviour		66578037	{'latitude': '52.637077', 'street': {'id': 883298, 'name': 'On or near Parking Area'}, 'longitude': '-1.131221'}		Force	2018-07		
105	anti-social-behaviour		66578041	{'latitude': '52.639814', 'street': {'id': 883235, 'name': 'On or near Sanvey Gate'}, 'longitude': '-1.139118'}		Force	2018-07		
106	anti-social-behaviour		66578044	{'latitude': '52.633145', 'street': {'id': 883365, 'name': 'On or near Granby Street'}, 'longitude': '-1.129511'}		Force	2018-07		
107	anti-social-behaviour		66582099	{'latitude': '52.633018', 'street': {'id': 883123, 'name': 'On or near Melbourne Road'}, 'longitude': '-1.113674'}		Force	2018-07		
108	anti-social-behaviour		66578813	{'latitude': '52.626908', 'street': {'id': 882376, 'name': 'On or near Onslow Street'}, 'longitude': '-1.114064'}		Force	2018-07		
109	anti-social-behaviour		66578822	{'latitude': '52.625777', 'street': {'id': 882372, 'name': 'On or near Further/higher Educational Building'}, 'longitude': '-1.125181'}		Force	2018-07		
110	anti-social-behaviour		66578827	{'latitude': '52.632277', 'street': {'id': 883228, 'name': 'On or near Apollo Court'}, 'longitude': '-1.117885'}		Force	2018-07		
111	anti-social-behaviour		66578828	{'latitude': '52.636250', 'street': {'id': 883415, 'name': 'On or near Shopping Area'}, 'longitude': '-1.133691'}		Force	2018-07		
112	anti-social-behaviour		66578831	{'latitude': '52.631166', 'street': {'id': 883520, 'name': 'On or near Braunstone Gate'}, 'longitude': '-1.145493'}		Force	2018-07		
113	anti-social-behaviour		66582092	{'latitude': '52.632073', 'street': {'id': 883364, 'name': 'On or near Granby Street'}, 'longitude': '-1.126829'}		Force	2018-07		
114	anti-social-behaviour		66574923	{'latitude': '52.626908', 'street': {'id': 882376, 'name': 'On or near Onslow Street'}, 'longitude': '-1.114064'}		Force	2018-07		
115	anti-social-behaviour		66574276	{'latitude': '52.628925', 'street': {'id': 883167, 'name': 'On or near Chandos Street'}, 'longitude': '-1.112087'}		Force	2018-07		
116	anti-social-behaviour		66582065	{'latitude': '52.625201', 'street': {'id': 882420, 'name': 'On or near St James Road'}, 'longitude': '-1.114231'}		Force	2018-07		
117	anti-social-behaviour		66579291	{'latitude': '52.628177', 'street': {'id': 883452, 'name': 'On or near Barclay Street'}, 'longitude': '-1.154830'}		Force	2018-07		
118	anti-social-behaviour		66579302	{'latitude': '52.634369', 'street': {'id': 883214, 'name': 'On or near Pegasus Close'}, 'longitude': '-1.117533'}		Force	2018-07		
119	anti-social-behaviour		66582062	{'latitude': '52.633333', 'street': {'id': 883526, 'name': 'On or near Arundel Street'}, 'longitude': '-1.151790'}		Force	2018-07		
120	anti-social-behaviour		66582059	{'latitude': '52.630156', 'street': {'id': 883478, 'name': 'On or near Ruding Road'}, 'longitude': '-1.147463'}		Force	2018-07		
121	anti-social-behaviour		66582061	{'latitude': '52.634522', 'street': {'id': 883082, 'name': 'On or near Taurus Close'}, 'longitude': '-1.116318'}		Force	2018-07		
122	anti-social-behaviour		66581761	{'latitude': '52.633192', 'street': {'id': 883227, 'name': 'On or near Atlas Close'}, 'longitude': '-1.117719'}		Force	2018-07		
123	anti-social-behaviour		66573395	{'latitude': '52.630054', 'street': {'id': 883351, 'name': 'On or near Lower Brown Street'}, 'longitude': '-1.134685'}		Force	2018-07		
124	anti-social-behaviour		66573385	{'latitude': '52.637069', 'street': {'id': 883413, 'name': 'On or near Supermarket'}, 'longitude': '-1.131414'}		Force	2018-07		
125	anti-social-behaviour		66581517	{'latitude': '52.637005', 'street': {'id': 883354, 'name': 'On or near Kildare Street'}, 'longitude': '-1.130026'}		Force	2018-07		
126	anti-social-behaviour		66574924	{'latitude': '52.625325', 'street': {'id': 882469, 'name': 'On or near Draper Street'}, 'longitude': '-1.110284'}		Force	2018-07		
127	anti-social-behaviour		66581254	{'latitude': '52.636110', 'street': {'id': 883290, 'name': 'On or near Humberstone Gate'}, 'longitude': '-1.131802'}		Force	2018-07		
128	anti-social-behaviour		66580717	{'latitude': '52.636250', 'street': {'id': 883415, 'name': 'On or near Shopping Area'}, 'longitude': '-1.133691'}		Force	2018-07		
129	anti-social-behaviour		66580710	{'latitude': '52.629292', 'street': {'id': 883212, 'name': 'On or near Severn Street'}, 'longitude': '-1.117842'}		Force	2018-07		
130	anti-social-behaviour		66578555	{'latitude': '52.632469', 'street': {'id': 883334, 'name': 'On or near Pocklingtons Walk'}, 'longitude': '-1.134164'}		Force	2018-07		
131	anti-social-behaviour		66574944	{'latitude': '52.626426', 'street': {'id': 882499, 'name': 'On or near Abingdon Road'}, 'longitude': '-1.114546'}		Force	2018-07		
132	anti-social-behaviour		66580460	{'latitude': '52.637674', 'street': {'id': 883469, 'name': 'On or near Tudor Road'}, 'longitude': '-1.147819'}		Force	2018-07		
133	anti-social-behaviour		66575824	{'latitude': '52.621287', 'street': {'id': 882350, 'name': 'On or near Sports/recreation Area'}, 'longitude': '-1.136881'}		Force	2018-07		
134	anti-social-behaviour		66578548	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
135	anti-social-behaviour		66578565	{'latitude': '52.635974', 'street': {'id': 883429, 'name': 'On or near Highcross Street'}, 'longitude': '-1.139045'}		Force	2018-07		
136	anti-social-behaviour		66580459	{'latitude': '52.638691', 'street': {'id': 883400, 'name': 'On or near Nightclub'}, 'longitude': '-1.131914'}		Force	2018-07		
137	anti-social-behaviour		66580456	{'latitude': '52.637005', 'street': {'id': 883354, 'name': 'On or near Kildare Street'}, 'longitude': '-1.130026'}		Force	2018-07		
138	anti-social-behaviour		66580956	{'latitude': '52.626100', 'street': {'id': 882498, 'name': 'On or near Abingdon Road'}, 'longitude': '-1.115350'}		Force	2018-07		
139	anti-social-behaviour		66579028	{'latitude': '52.627147', 'street': {'id': 883047, 'name': 'On or near St Albans Road'}, 'longitude': '-1.117117'}		Force	2018-07		
140	anti-social-behaviour		66579029	{'latitude': '52.631611', 'street': {'id': 883264, 'name': 'On or near Slate Street'}, 'longitude': '-1.122612'}		Force	2018-07		
141	anti-social-behaviour		66579032	{'latitude': '52.630277', 'street': {'id': 883494, 'name': 'On or near Latimer Street'}, 'longitude': '-1.150593'}		Force	2018-07		
142	anti-social-behaviour		66579035	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
143	anti-social-behaviour		66579045	{'latitude': '52.628177', 'street': {'id': 883452, 'name': 'On or near Barclay Street'}, 'longitude': '-1.154830'}		Force	2018-07		
144	anti-social-behaviour		66580955	{'latitude': '52.626426', 'street': {'id': 882499, 'name': 'On or near Abingdon Road'}, 'longitude': '-1.114546'}		Force	2018-07		
145	anti-social-behaviour		66573381	{'latitude': '52.631910', 'street': {'id': 883501, 'name': 'On or near Hinckley Road'}, 'longitude': '-1.152660'}		Force	2018-07		
146	anti-social-behaviour		66579368	{'latitude': '52.637077', 'street': {'id': 883298, 'name': 'On or near Parking Area'}, 'longitude': '-1.131221'}		Force	2018-07		
147	anti-social-behaviour		66573355	{'latitude': '52.636250', 'street': {'id': 883415, 'name': 'On or near Shopping Area'}, 'longitude': '-1.133691'}		Force	2018-07		
148	anti-social-behaviour		66579331	{'latitude': '52.631672', 'street': {'id': 883106, 'name': 'On or near Oxendon Street'}, 'longitude': '-1.115194'}		Force	2018-07		
149	anti-social-behaviour		66575828	{'latitude': '52.635434', 'street': {'id': 883399, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-1.126658'}		Force	2018-07		
150	anti-social-behaviour		66579578	{'latitude': '52.637077', 'street': {'id': 883298, 'name': 'On or near Parking Area'}, 'longitude': '-1.131221'}		Force	2018-07		
151	anti-social-behaviour		66575839	{'latitude': '52.626426', 'street': {'id': 882499, 'name': 'On or near Abingdon Road'}, 'longitude': '-1.114546'}		Force	2018-07		
152	anti-social-behaviour		66579364	{'latitude': '52.640274', 'street': {'id': 883240, 'name': 'On or near Wilton Street'}, 'longitude': '-1.129547'}		Force	2018-07		
153	anti-social-behaviour		66579365	{'latitude': '52.635434', 'street': {'id': 883399, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-1.126658'}		Force	2018-07		
154	anti-social-behaviour		66579374	{'latitude': '52.630016', 'street': {'id': 883514, 'name': 'On or near Cranmer Street'}, 'longitude': '-1.149209'}		Force	2018-07		
155	anti-social-behaviour		66579378	{'latitude': '52.633265', 'street': {'id': 883277, 'name': 'On or near Fox Street'}, 'longitude': '-1.125106'}		Force	2018-07		
156	anti-social-behaviour		66579381	{'latitude': '52.636250', 'street': {'id': 883415, 'name': 'On or near Shopping Area'}, 'longitude': '-1.133691'}		Force	2018-07		
157	anti-social-behaviour		66579392	{'latitude': '52.635434', 'street': {'id': 883399, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-1.126658'}		Force	2018-07		
158	anti-social-behaviour		66579394	{'latitude': '52.636256', 'street': {'id': 883316, 'name': 'On or near Wimbledon Street'}, 'longitude': '-1.125933'}		Force	2018-07		
159	anti-social-behaviour		66580697	{'latitude': '52.620053', 'street': {'id': 1319941, 'name': 'On or near Leicester City Football Club'}, 'longitude': '-1.141500'}		Force	2018-07		
160	anti-social-behaviour		66580693	{'latitude': '52.625201', 'street': {'id': 882420, 'name': 'On or near St James Road'}, 'longitude': '-1.114231'}		Force	2018-07		
161	anti-social-behaviour		66579073	{'latitude': '52.630156', 'street': {'id': 883478, 'name': 'On or near Ruding Road'}, 'longitude': '-1.147463'}		Force	2018-07		
162	anti-social-behaviour		66579075	{'latitude': '52.626100', 'street': {'id': 882498, 'name': 'On or near Abingdon Road'}, 'longitude': '-1.115350'}		Force	2018-07		
163	anti-social-behaviour		66579084	{'latitude': '52.626426', 'street': {'id': 882499, 'name': 'On or near Abingdon Road'}, 'longitude': '-1.114546'}		Force	2018-07		
164	anti-social-behaviour		66579087	{'latitude': '52.628588', 'street': {'id': 883223, 'name': 'On or near Gotham Street'}, 'longitude': '-1.119910'}		Force	2018-07		
165	anti-social-behaviour		66580684	{'latitude': '52.635006', 'street': {'id': 883394, 'name': 'On or near Nightclub'}, 'longitude': '-1.127066'}		Force	2018-07		
166	anti-social-behaviour		66580681	{'latitude': '52.634474', 'street': {'id': 883498, 'name': 'On or near Kate Street'}, 'longitude': '-1.149197'}		Force	2018-07		
